measurement_no,specimen_no,record_type,n_measured,position,measurement_type,average,min,max
22805,11320,mea,1,,width,23.74,,
22806,11321,mea,1,,length,22.21,,
22807,11321,mea,1,,width,18.65,,
22808,11322,mea,1,,length,21,,
22809,11322,mea,1,,width,20,,
22810,11323,mea,1,,width,20.46,,
22811,11323,mea,1,,length,21.28,,
22812,11324,mea,1,,width,15.53,,
22813,11324,mea,1,,length,19.68,,
22814,11325,mea,1,,length,22.65,,
22815,11325,mea,1,,width,21.22,,
22816,11326,mea,1,,length,16.84,,
22817,11326,mea,1,,width,18.49,,
22818,11327,mea,1,,length,18.49,,
22819,11327,mea,1,,width,21.54,,
22820,11328,mea,1,,length,14.65,,
22821,11328,mea,1,,width,14.23,,
22822,11329,mea,1,,length,19.35,,
22823,11329,mea,1,,width,20.18,,
22824,11330,mea,1,,length,19.93,,
22825,11330,mea,1,,width,21.79,,
22826,11331,mea,1,,width,26.98,,
22827,11331,mea,1,,length,18.33,,
22828,11332,mea,1,,length,25.52,,
22829,11332,mea,1,,width,37.78,,
22830,11333,mea,1,,length,33.88,,
22831,11333,mea,1,,width,24,,
22832,11334,mea,1,,width,29.52,,
22833,11334,mea,1,,length,21.56,,
22834,11335,mea,1,,width,26.26,,
22835,11335,mea,1,,length,19.94,,
22836,11336,mea,1,,length,20.28,,
22837,11336,mea,1,,width,21.5,,
22838,11337,mea,1,,length,45.88,,
22839,11337,mea,1,,width,28.93,,
22840,11338,mea,1,,width,20.38,,
22841,11338,mea,1,,length,37.62,,
22842,11339,mea,1,,width,23.71,,
22843,11339,mea,1,,length,36.46,,
22844,11340,mea,1,,width,26.25,,
22845,11340,mea,1,,length,40.63,,
22846,11341,mea,1,,width,27.38,,
22847,11341,mea,1,,length,42.51,,
22848,11342,mea,1,,width,35.7,,
22849,11342,mea,1,,length,30.23,,
22850,11343,mea,1,,length,31.78,,
22851,11343,mea,1,,width,40.56,,
22852,11344,mea,1,,length,20.83,,
22853,11344,mea,1,,width,23.92,,
22854,11345,mea,1,,width,25.54,,
22855,11345,mea,1,,length,19.24,,
22856,11346,mea,1,,width,45.21,,
22857,11346,mea,1,,length,35.21,,
22858,11347,mea,1,,width,38.79,,
22859,11347,mea,1,,length,32.66,,
22860,11348,mea,1,,width,43.03,,
22861,11348,mea,1,,length,39.05,,
22862,11349,mea,1,,width,32.3,,
22863,11349,mea,1,,length,32.08,,
22864,11350,mea,1,,width,44.14,,
22865,11350,mea,1,,length,35.85,,
22866,11351,mea,1,,width,43.58,,
22867,11351,mea,1,,length,33.33,,
22868,11352,mea,1,,width,47.17,,
22869,11352,mea,1,,length,39.37,,
22870,11353,mea,1,,width,40.97,,
22871,11353,mea,1,,length,30.93,,
22872,11354,mea,1,,width,34.21,,
22873,11354,mea,1,,length,27.7,,
22874,11355,mea,1,,width,44.6,,
22875,11355,mea,1,,length,33.85,,
22876,11356,mea,1,,width,27.99,,
22877,11356,mea,1,,length,25.52,,
22878,11357,mea,1,,width,31.37,,
22879,11357,mea,1,,length,"27,52",,
22880,11358,mea,1,,width,17.59,,
22881,11358,mea,1,,length,19.36,,
22882,11359,mea,1,,width,30.68,,
22883,11359,mea,1,,length,32.06,,
22884,11360,mea,1,,width,37.9,,
22885,11360,mea,1,,length,47,,
22886,11361,mea,1,,width,41.03,,
22887,11361,mea,1,,length,41.81,,
22888,11362,mea,1,,length,30.12,,
